"effect id","name","description","data1","data2","data3","magic","consumables (battle)","consumables (outside battle)","accessories","quartzes"
"0","no_effect","No effect. Used as filler/placeholder.","-","-","-","","","","",""
"1","phys_dmg","Physical damage","STR scaling?","","","","","","",""
"2","mag_dmg","Magical/arts damage","","","","","","","",""
"3","","","","","","","","","",""
"4","","","","","","","","","",""
"5","prop_dmg","Damage proportional to max HP (Wild Rage)","HP ratio (%)","","","","","","",""
"6","","","","","","","","","",""
"7","","","","","","","","","",""
"8","","","","","","","","","",""
"9","","","","","","","","","",""
"10","inflict_psn","Inflict poison status","chance","turns","","","","","",""
"11","inflict_seal","Inflict seal status","chance","turns","","","","","",""
"12","inflict_mute","Inflict mute status","chance","turns","","","","","",""
"13","inflict_blnd","Inflict blind status","chance","turns","","","","","",""
"14","inflict_slp","Inflict sleep status","chance","turns","","","","","",""
"15","inflict_burn","Inflict burn status","chance","turns","","","","","",""
"16","inflict_frz","Inflict freeze status","chance","turns","","","","","",""
"17","inflict_petr","Inflict petrify status","chance","turns","","","","","",""
"18","inflict_fnt","Inflict faint status","chance","turns","","","","","",""
"19","inflict_conf","Inflict confuse status","chance","turns","","","","","",""
"20","inflict_dblw","Inflict deathblow","chance","","","","","","",""
"21","inflict_nmr","Inflict nightmare status","chance","turns","","","","","",""
"22","inflict_dly","Inflict delay","chance","amount","","","","","",""
"23","inflict_vnsh","Inflict vanish status","chance","","","","","","",""
"24","","","","","","","","","",""
"25","lustrous_slash_effect","Lustrous slash effect; impede?","","","","","","","",""
"26","inflict_bdwn","Inflict balance down status","","","","","","","",""
"27","dragon_claws_effect","True Dragon Claws effect; suction?","","","","","","","",""
"28","inflict_weak","Inflict Weak status","","","","","","","",""
"29","inflict_random_status","Inflict random abnormal status","chance","","","","","","",""
"30","debuff_str","STR down","amount (%)","turns","","","","","",""
"31","debuff_def","DEF down","amount (%)","turns","","","","","",""
"32","debuff_ats","ATS down","amount (%)","turns","","","","","",""
"33","debuff_adf","ADF down","amount (%)","turns","","","","","",""
"34","debuff_spd","SPD down","amount (%)","turns","","","","","",""
"35","debuff_mov","MOV down","","","","","","","",""
"36","","","","","","","","","",""
"37","debuff_random","Inflict random status debuff","chance","turns","","","","","",""
"38","","","","","","","","","",""
"39","","","","","","","","","",""
"40","","","","","","","","","",""
"41","","","","","","","","","",""
"42","","","","","","","","","",""
"43","","","","","","","","","",""
"44","","","","","","","","","",""
"45","unknown_effect_1","Unknown effect, used by a whole lot of items and arts/crafts","","","","","","","",""
"46","","","","","","","","","",""
"47","","","","","","","","","",""
"48","","","","","","","","","",""
"49","","","","","","","","","",""
